[2026-04-22 00:02:58] CPU: 98.5% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | CRITICAL
[2026-04-22 00:03:01] CPU: 100.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | CRITICAL
[2026-04-22 00:03:05] CPU: 100.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | CRITICAL
[2026-04-22 00:03:07] CPU: 100.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | CRITICAL
[2026-04-22 00:03:10] CPU: 100.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | CRITICAL
[2026-04-22 00:03:13] CPU: 100.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | CRITICAL
[2026-04-22 00:03:16] CPU: 100.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | CRITICAL
[2026-04-22 00:03:19] CPU: 100.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | CRITICAL
[2026-04-22 00:03:22] CPU: 100.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | CRITICAL
[2026-04-22 00:03:25] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:28] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:31] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:34] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:37] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:39] CPU: 2.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | WARNING
[2026-04-22 00:03:43] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:46] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:49] CPU: 0.6% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:52] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:55] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:03:58] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:01] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:04] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:07] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:10] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:12] CPU: 0.6% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:15] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:18] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:21] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:24] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:27] CPU: 0.6% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:30] CPU: 0.6% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:33] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:36] CPU: 0.6% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:39] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:42] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:44] CPU: 0.3% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:47] CPU: 0.6% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:50] CPU: 0.0% | RAM: 66/921 MB (14.2%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:53] CPU: 0.6% | RAM: 66/921 MB (14.3%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:56] CPU: 0.0% | RAM: 66/921 MB (14.3%) | Disk: 99.6% | NORMAL
[2026-04-22 00:04:59] CPU: 0.0% | RAM: 66/921 MB (14.3%) | Disk: 99.6% | NORMAL
[2026-04-22 00:05:02] CPU: 0.0% | RAM: 66/921 MB (14.3%) | Disk: 99.6% | NORMAL
[2026-04-22 00:05:05] CPU: 0.0% | RAM: 66/921 MB (14.3%) | Disk: 99.6% | NORMAL
[2026-04-22 00:05:08] CPU: 0.3% | RAM: 66/921 MB (14.3%) | Disk: 99.6% | NORMAL
[2026-04-22 00:05:11] CPU: 0.3% | RAM: 66/921 MB (14.3%) | Disk: 99.6% | NORMAL
[2026-04-22 00:05:14] CPU: 0.8% | RAM: 66/921 MB (14.3%) | Disk: 99.6% | NORMAL
